<http://www.yso.fi/onto/yso/p16081>	manttelisolulymfooma
<http://www.yso.fi/onto/yso/p15236>	kurkkusyöpä
<http://www.yso.fi/onto/yso/p626>	kuolema
<http://www.yso.fi/onto/yso/p15128>	melanooma
<http://www.yso.fi/onto/yso/p19195>	myelooma
<http://www.yso.fi/onto/yso/p18534>	munuaissyöpä
<http://www.yso.fi/onto/yso/p11647>	sairastuminen
<http://www.yso.fi/onto/yso/p20019>	rintasyöpä
<http://www.yso.fi/onto/yso/p2717>	päiväkirjat
<http://www.yso.fi/onto/yso/p17729>	maksasyöpä
<http://www.yso.fi/onto/yso/p678>	syöpätaudit
<http://www.yso.fi/onto/yso/p14843>	eturauhassyöpä
<http://www.yso.fi/onto/yso/p20163>	haimasyöpä
<http://www.yso.fi/onto/yso/p677>	kivessyöpä
<http://www.yso.fi/onto/yso/p12798>	kohdunrungon syöpä
<http://www.yso.fi/onto/yso/p4>	kaunokirjallisuus
<http://www.yso.fi/onto/yso/p19573>	keuhkosyöpä
<http://www.yso.fi/onto/yso/p18980>	leukemia
<http://www.yso.fi/onto/yso/p12799>	kohtusyöpä
<http://www.yso.fi/onto/yso/p10222>	neuroblastooma
<http://www.yso.fi/onto/yso/p6111>	mahasyöpä
<http://www.yso.fi/onto/yso/p10359>	nefroblastooma
<http://www.yso.fi/onto/yso/p8111>	muistelmat
<http://www.yso.fi/onto/yso/p5937>	paksusuolisyöpä
<http://www.yso.fi/onto/yso/p17173>	kohdunkaulan syöpä
<http://www.yso.fi/onto/yso/p16517>	Hodgkinin tauti
<http://www.yso.fi/onto/yso/p2299>	kasvaimet
<http://www.yso.fi/onto/yso/p17073>	indeksointi
<http://www.yso.fi/onto/yso/p5936>	peräsuolisyöpä
<http://www.yso.fi/onto/yso/p13380>	sisällönkuvailu
<http://www.yso.fi/onto/yso/p5574>	lymfooma
<http://www.yso.fi/onto/yso/p17733>	huulisyöpä
<http://www.yso.fi/onto/yso/p6173>	kriisit
<http://www.yso.fi/onto/yso/p2718>	henkilöhistoria
<http://www.yso.fi/onto/yso/p16044>	suusyöpä
<http://www.yso.fi/onto/yso/p6641>	ruokatorvisyöpä
<http://www.yso.fi/onto/yso/p13039>	virtsarakkosyöpä
<http://www.yso.fi/onto/yso/p16988>	kielisyöpä
<http://www.yso.fi/onto/yso/p13613>	ihosyöpä
<http://www.yso.fi/onto/yso/p19455>	luuydinsyöpä
<http://www.yso.fi/onto/yso/p17167>	merkelinsolukarsinooma
<http://www.yso.fi/onto/yso/p15651>	osteosarkooma
<http://www.yso.fi/onto/yso/p17331>	adenokarsinooma
<http://www.yso.fi/onto/yso/p1896>	romaanit
