<http://www.yso.fi/onto/yso/p25190>	beställare
<http://www.yso.fi/onto/yso/p775>	offentlig förvaltning
<http://www.yso.fi/onto/yso/p1184>	allianser
<http://www.yso.fi/onto/yso/p1689>	huvudstadsregionen (Finland)
<http://www.yso.fi/onto/yso/p13980>	trafikplanering
<http://www.yso.fi/onto/yso/p9912>	kollektivtrafik
<http://www.yso.fi/onto/yso/p7518>	kommunalförvaltning
<http://www.yso.fi/onto/yso/p20048>	spårvägar
<http://www.yso.fi/onto/yso/p3006>	projekt
<http://www.yso.fi/onto/yso/p10083>	kommuner
<http://www.yso.fi/onto/yso/p6243>	spårvägstrafik
<http://www.yso.fi/onto/yso/p13999>	kommunala sektorn
<http://www.yso.fi/onto/yso/p6334>	samarbete
