<http://www.yso.fi/onto/yso/p20827>	heteronormativitet
<http://www.yso.fi/onto/yso/p20282>	queer-forskning
<http://www.yso.fi/onto/yso/p1828>	sexuella minoriteter
<http://www.yso.fi/onto/yso/p9344>	koder
<http://www.yso.fi/onto/yso/p29690>	queerlitteratur
<http://www.yso.fi/onto/yso/p18743>	camp
<http://www.yso.fi/onto/yso/p25989>	genus
<http://www.yso.fi/onto/yso/p1407>	representation (framställning)
<http://www.yso.fi/onto/yso/p3603>	semiotik
<http://www.yso.fi/onto/yso/p1148>	tecknade serier
<http://www.yso.fi/onto/yso/p38773>	seriekonst
