<http://www.yso.fi/onto/yso/p5878>	marknadsföring
<http://www.yso.fi/onto/yso/p38829>	covid-19
<http://www.yso.fi/onto/yso/p1044>	värderingar (uppfattningar)
<http://www.yso.fi/onto/yso/p3670>	mat
<http://www.yso.fi/onto/yso/p8576>	konsumentbeteende
<http://www.yso.fi/onto/yso/p5527>	matvanor
<http://www.yso.fi/onto/yso/p6173>	kriser
<http://www.yso.fi/onto/yso/p8574>	konsumtion
<http://www.yso.fi/onto/yso/p10121>	pandemier
<http://www.yso.fi/onto/yso/p28108>	köpbeslut
<http://www.yso.fi/onto/yso/p2868>	beslut
<http://www.yso.fi/onto/yso/p15979>	unga vuxna
<http://www.yso.fi/onto/yso/p6580>	livsmedel
