<http://www.yso.fi/onto/yso/p817>	framtid
<http://www.yso.fi/onto/yso/p2891>	arbetshälsa
<http://www.yso.fi/onto/yso/p38829>	covid-19
<http://www.yso.fi/onto/yso/p16262>	arbetsliv
<http://www.yso.fi/onto/yso/p10801>	distansarbete
<http://www.yso.fi/onto/yso/p20249>	avtalsrätt
<http://www.yso.fi/onto/yso/p7589>	arbetsrätt
<http://www.yso.fi/onto/yso/p554>	ledarskap (verksamhetsledning)
<http://www.yso.fi/onto/yso/p8544>	arbetsmiljö
<http://www.yso.fi/onto/yso/p4294>	arbetarskydd
<http://www.yso.fi/onto/yso/p10121>	pandemier
<http://www.yso.fi/onto/yso/p4259>	produktivitet
<http://www.yso.fi/onto/yso/p13854>	lagstiftning
