<http://www.yso.fi/onto/yso/p1161>	journalistik
<http://www.yso.fi/onto/yso/p817>	framtid
<http://www.yso.fi/onto/yso/p2444>	medier (kommunikation)
<http://www.yso.fi/onto/yso/p20774>	sociala medier
<http://www.yso.fi/onto/yso/p6333>	uppfattningar
<http://www.yso.fi/onto/yso/p277>	förändring
<http://www.yso.fi/onto/yso/p24668>	polarisering (samhälle)
<http://www.yso.fi/onto/yso/p16486>	studerande
<http://www.yso.fi/onto/yso/p9971>	trovärdighet
<http://www.yso.fi/onto/yso/p2123>	utveckling (process)
<http://www.yso.fi/onto/yso/p818>	framtidsförväntningar
