<http://www.yso.fi/onto/yso/p21313>	profilera sig
<http://www.yso.fi/onto/yso/p11872>	autenticitet
<http://www.yso.fi/onto/yso/p8552>	delkulturer
<http://www.yso.fi/onto/yso/p2445>	media
<http://www.yso.fi/onto/yso/p1808>	musik
<http://www.yso.fi/onto/yso/p24555>	gruppidentitet
<http://www.yso.fi/onto/yso/p24304>	evenemangsproduktion
<http://www.yso.fi/onto/yso/p14168>	medieforskning
<http://www.yso.fi/onto/yso/p21709>	fandom
<http://www.yso.fi/onto/yso/p29612>	positionering (marknadsföring)
<http://www.yso.fi/onto/yso/p10646>	särskilja sig
<http://www.yso.fi/onto/yso/p9057>	evenemangsmarknadsföring
<http://www.yso.fi/onto/yso/p1882>	rock (musik)
<http://www.yso.fi/onto/yso/p1304>	festivaler
<http://www.yso.fi/onto/yso/p10196>	musikkultur
<http://www.yso.fi/onto/yso/p7829>	diskursanalys
