<http://www.yso.fi/onto/yso/p3474>	löneskillnader
<http://www.yso.fi/onto/yso/p17036>	specialisering
<http://www.yso.fi/onto/yso/p16262>	arbetsliv
<http://www.yso.fi/onto/yso/p8831>	arbetsmarknaden
<http://www.yso.fi/onto/yso/p25211>	gifta par
<http://www.yso.fi/onto/yso/p5179>	ensamstående
<http://www.yso.fi/onto/yso/p5178>	singlar (ensamstående)
<http://www.yso.fi/onto/yso/p25384>	sambopar
<http://www.yso.fi/onto/yso/p6303>	diskriminering
<http://www.yso.fi/onto/yso/p2797>	parförhållande
<http://www.yso.fi/onto/yso/p16435>	civilstånd
<http://www.yso.fi/onto/yso/p3473>	inkomstskillnader
<http://www.yso.fi/onto/yso/p6362>	mannens ställning
<http://www.yso.fi/onto/yso/p8173>	män
<http://www.yso.fi/onto/yso/p4259>	produktivitet
<http://www.yso.fi/onto/yso/p941>	inkomster
<http://www.yso.fi/onto/yso/p15174>	löntagare
