<http://www.yso.fi/onto/yso/p7586>	socialhistoria
<http://www.yso.fi/onto/yso/p2335>	agentskap
<http://www.yso.fi/onto/yso/p4299>	arkitekter
<http://www.yso.fi/onto/yso/p19220>	arkitekturtävlingar
<http://www.yso.fi/onto/yso/p2399>	jämställdhet
<http://www.yso.fi/onto/yso/p6365>	kvinnans ställning
<http://www.yso.fi/onto/yso/p21065>	feministisk forskning
<http://www.yso.fi/onto/yso/p21333>	genusperspektiv
<http://www.yso.fi/onto/yso/p3731>	arkitekturpris
<http://www.yso.fi/onto/yso/p8025>	arkitektur
<http://www.yso.fi/onto/yso/p7254>	feminism
<http://www.yso.fi/onto/yso/p16991>	kvinnor
<http://www.yso.fi/onto/yso/p10628>	synlighet
