<http://www.yso.fi/onto/yso/p2421>	dagstidningar
<http://www.yso.fi/onto/yso/p1686>	fiske
<http://www.yso.fi/onto/yso/p5496>	biodiversitet
<http://www.yso.fi/onto/yso/p22758>	tumlare (art)
<http://www.yso.fi/onto/yso/p2422>	tidningspress
<http://www.yso.fi/onto/yso/p15399>	havsörn
<http://www.yso.fi/onto/yso/p9778>	samhället
<http://www.yso.fi/onto/yso/p8691>	egenskaper
<http://www.yso.fi/onto/yso/p20540>	tidningsskriveri
<http://www.yso.fi/onto/yso/p38768>	tidningsarkiv
<http://www.yso.fi/onto/yso/p26936>	populationsförändringar
<http://www.yso.fi/onto/yso/p28227>	människa-djurförhållande
<http://www.yso.fi/onto/yso/p24628>	ekosystemtjänster
<http://www.yso.fi/onto/yso/p16315>	naturrelation
<http://www.yso.fi/onto/yso/p11>	naturskydd
<http://www.yso.fi/onto/yso/p3547>	jakt
<http://www.yso.fi/onto/yso/p3276>	fritid
