<http://www.yso.fi/onto/yso/p27055>	homosexuella män
<http://www.yso.fi/onto/yso/p27707>	österbottniska dialekter (finlandssvenska)
<http://www.yso.fi/onto/yso/p1066>	litteraturvetenskap
<http://www.yso.fi/onto/yso/p8112>	finlandssvensk litteratur
<http://www.yso.fi/onto/yso/p2215>	litteratursociologi
<http://www.yso.fi/onto/yso/p11905>	kontext
<http://www.yso.fi/onto/yso/p29699>	transpersoner
<http://www.yso.fi/onto/yso/p25246>	samtidskritik
<http://www.yso.fi/onto/yso/p1984>	dialektlitteratur
<http://www.yso.fi/onto/yso/p7135>	sociala normer
<http://www.yso.fi/onto/yso/p10442>	österbottnisk identitet
<http://www.yso.fi/onto/yso/p930>	manlighet
<http://www.yso.fi/onto/yso/p21333>	genusperspektiv
<http://www.yso.fi/onto/yso/p18083>	våldtäkt
<http://www.yso.fi/onto/yso/p1051>	samhälleliga händelser
<http://www.yso.fi/onto/yso/p9778>	samhället
<http://www.yso.fi/onto/yso/p7136>	tabun
<http://www.yso.fi/onto/yso/p2241>	samhälleliga fenomen
<http://www.yso.fi/onto/yso/p7995>	depression
<http://www.yso.fi/onto/yso/p25989>	genus
<http://www.yso.fi/onto/yso/p7177>	sångtexter
<http://www.yso.fi/onto/yso/p18350>	hegemoni
