<http://www.yso.fi/onto/yso/p454>	politik
<http://www.yso.fi/onto/yso/p10844>	hotbilder
<http://www.yso.fi/onto/yso/p2445>	media
<http://www.yso.fi/onto/yso/p22927>	identitetspolitik
<http://www.yso.fi/onto/yso/p7519>	kommunalpolitik
<http://www.yso.fi/onto/yso/p9310>	språkpolitik
<http://www.yso.fi/onto/yso/p8998>	socialt kapital
<http://www.yso.fi/onto/yso/p24151>	medialisering
<http://www.yso.fi/onto/yso/p17923>	socialkonstruktivism
<http://www.yso.fi/onto/yso/p11457>	finlandssvenskhet
<http://www.yso.fi/onto/yso/p9743>	identitet (självbild)
<http://www.yso.fi/onto/yso/p3418>	finlandssvenskar
<http://www.yso.fi/onto/yso/p9309>	språkliga minoriteter
