<http://www.yso.fi/onto/yso/p11394>	verkställande direktörer
<http://www.yso.fi/onto/yso/p20540>	tidningsskriveri
<http://www.yso.fi/onto/yso/p2445>	media
<http://www.yso.fi/onto/yso/p2422>	tidningspress
<http://www.yso.fi/onto/yso/p6333>	uppfattningar
<http://www.yso.fi/onto/yso/p25989>	genus
<http://www.yso.fi/onto/yso/p22220>	narrativ forskning
<http://www.yso.fi/onto/yso/p12677>	stereotyper
<http://www.yso.fi/onto/yso/p26448>	genusforskning
<http://www.yso.fi/onto/yso/p22231>	roll relaterad till kön
<http://www.yso.fi/onto/yso/p20005>	ledare (tidningar)
<http://www.yso.fi/onto/yso/p928>	könsroller
<http://www.yso.fi/onto/yso/p8420>	ledarskap (egenskaper)
