<http://www.yso.fi/onto/yso/p3830>	teologi
<http://www.yso.fi/onto/yso/p29492>	sekularism
<http://www.yso.fi/onto/yso/p2555>	ekonomi
<http://www.yso.fi/onto/yso/p9778>	samhället
<http://www.yso.fi/onto/yso/p15296>	sekularisering
<http://www.yso.fi/onto/yso/p12824>	romantiken
<http://www.yso.fi/onto/yso/p67>	våld
<http://www.yso.fi/onto/yso/p1780>	historia
<http://www.yso.fi/onto/yso/p5859>	samhällen
<http://www.yso.fi/onto/yso/p6225>	religionsfilosofi
<http://www.yso.fi/onto/yso/p24098>	slöseri
