<http://www.yso.fi/onto/yso/p454>	politik
<http://www.yso.fi/onto/yso/p1822>	nationalism
<http://www.yso.fi/onto/yso/p28180>	Helsingforsöverenskommelsen (1975)
<http://www.yso.fi/onto/yso/p21078>	diskursforskning
<http://www.yso.fi/onto/yso/p11302>	språkbruk
<http://www.yso.fi/onto/yso/p1207>	sovjetmedborgare
<http://www.yso.fi/onto/yso/p26081>	diskursteorier
<http://www.yso.fi/onto/yso/p8527>	diktatur
<http://www.yso.fi/onto/yso/p28277>	sovjettiden
<http://www.yso.fi/onto/yso/p21733>	aktivism
<http://www.yso.fi/onto/yso/p19679>	inrikespolitik
<http://www.yso.fi/onto/yso/p10166>	ukrainare
<http://www.yso.fi/onto/yso/p2988>	dissidenter
<http://www.yso.fi/onto/yso/p1248>	myter
<http://www.yso.fi/onto/yso/p450>	kommunism
<http://www.yso.fi/onto/yso/p19297>	samhällskritik
<http://www.yso.fi/onto/yso/p13939>	aktivister
<http://www.yso.fi/onto/yso/p2986>	politiska förföljelser
