<http://www.yso.fi/onto/yso/p22644>	konsumtionskultur
<http://www.yso.fi/onto/yso/p1444>	konsumtionsforskning
<http://www.yso.fi/onto/yso/p27507>	y-generationen
<http://www.yso.fi/onto/yso/p8470>	hållbar utveckling
<http://www.yso.fi/onto/yso/p24202>	hållbar konsumtion
<http://www.yso.fi/onto/yso/p3594>	kläder
<http://www.yso.fi/onto/yso/p8576>	konsumentbeteende
<http://www.yso.fi/onto/yso/p8574>	konsumtion
<http://www.yso.fi/onto/yso/p3418>	finlandssvenskar
<http://www.yso.fi/onto/yso/p4732>	mode
<http://www.yso.fi/onto/yso/p21079>	etisk konsumtion
<http://www.yso.fi/onto/yso/p8572>	konsumtionsvanor
