<http://www.yso.fi/onto/yso/p6310>	samhällsklasser
<http://www.yso.fi/onto/yso/p8831>	arbetsmarknaden
<http://www.yso.fi/onto/yso/p6249>	kapital
<http://www.yso.fi/onto/yso/p2241>	samhälleliga fenomen
<http://www.yso.fi/onto/yso/p2011>	informationssamhälle
<http://www.yso.fi/onto/yso/p9763>	samhällsutveckling
<http://www.yso.fi/onto/yso/p24668>	polarisering (samhälle)
<http://www.yso.fi/onto/yso/p12361>	fackförbund
<http://www.yso.fi/onto/yso/p3867>	globalisering
<http://www.yso.fi/onto/yso/p7946>	konflikter
<http://www.yso.fi/onto/yso/p4187>	samhällsskildring
<http://www.yso.fi/onto/yso/p25710>	klasser
