<http://www.yso.fi/onto/yso/p3790>	dieter
<http://www.yso.fi/onto/yso/p10>	miljömedvetande
<http://www.yso.fi/onto/yso/p22644>	konsumtionskultur
<http://www.yso.fi/onto/yso/p38791>	hållbar livsstil
<http://www.yso.fi/onto/yso/p21004>	ekologisk hållbarhet
<http://www.yso.fi/onto/yso/p8470>	hållbar utveckling
<http://www.yso.fi/onto/yso/p24202>	hållbar konsumtion
<http://www.yso.fi/onto/yso/p8576>	konsumentbeteende
<http://www.yso.fi/onto/yso/p8574>	konsumtion
<http://www.yso.fi/onto/yso/p11782>	kvalitativ forskning
<http://www.yso.fi/onto/yso/p15979>	unga vuxna
<http://www.yso.fi/onto/yso/p9743>	identitet (självbild)
<http://www.yso.fi/onto/yso/p9024>	vegetarisk kost
<http://www.yso.fi/onto/yso/p6580>	livsmedel
<http://www.yso.fi/onto/yso/p8572>	konsumtionsvanor
<http://www.yso.fi/onto/yso/p8573>	köpbeteende
