<http://www.yso.fi/onto/yso/p2068>	religionsfostran
<http://www.yso.fi/onto/yso/p14803>	livsfilosofi
<http://www.yso.fi/onto/yso/p9342>	livets mening
<http://www.yso.fi/onto/yso/p2402>	mänskliga rättigheter
<http://www.yso.fi/onto/yso/p2518>	grundskolan
<http://www.yso.fi/onto/yso/p4823>	dygder
<http://www.yso.fi/onto/yso/p7214>	grundskolans högstadium
<http://www.yso.fi/onto/yso/p2921>	religion och religioner
<http://www.yso.fi/onto/yso/p3166>	etik
<http://www.yso.fi/onto/yso/p5140>	läroplaner
<http://www.yso.fi/onto/yso/p7075>	personlighet
<http://www.yso.fi/onto/yso/p9366>	kristen etik
<http://www.yso.fi/onto/yso/p2630>	undervisning
<http://www.yso.fi/onto/yso/p6225>	religionsfilosofi
