<http://www.yso.fi/onto/yso/p5164>	delaktighet
<http://www.yso.fi/onto/yso/p454>	politik
<http://www.yso.fi/onto/yso/p8741>	beslutsfattare
<http://www.yso.fi/onto/yso/p7903>	innovationer
<http://www.yso.fi/onto/yso/p5619>	attityder
<http://www.yso.fi/onto/yso/p2646>	politisk aktivitet
<http://www.yso.fi/onto/yso/p16359>	medborgare
<http://www.yso.fi/onto/yso/p8743>	beslutsfattande
<http://www.yso.fi/onto/yso/p10083>	kommuner
<http://www.yso.fi/onto/yso/p11251>	invånare
<http://www.yso.fi/onto/yso/p742>	demokrati
