<http://www.yso.fi/onto/yso/p1161>	journalistik
<http://www.yso.fi/onto/yso/p2444>	medier (kommunikation)
<http://www.yso.fi/onto/yso/p27136>	sensationer
<http://www.yso.fi/onto/yso/p2422>	tidningspress
<http://www.yso.fi/onto/yso/p421>	stilar
<http://www.yso.fi/onto/yso/p8659>	sensationspress
<http://www.yso.fi/onto/yso/p12741>	skriftlig framställning
<http://www.yso.fi/onto/yso/p17233>	mediekritik
<http://www.yso.fi/onto/yso/p13915>	nyheter (meddelanden)
<http://www.yso.fi/onto/yso/p11599>	kvällstidningar
<http://www.yso.fi/onto/yso/p10539>	masskommunikation
<http://www.yso.fi/onto/yso/p18331>	redaktionsarbete
<http://www.yso.fi/onto/yso/p9839>	kommersialisering (process)
<http://www.yso.fi/onto/yso/p21431>	nyhetsrapportering
<http://www.yso.fi/onto/yso/p20540>	tidningsskriveri
<http://www.yso.fi/onto/yso/p2421>	dagstidningar
