<http://www.yso.fi/onto/yso/p1825>	homosexualitet
<http://www.yso.fi/onto/yso/p20827>	heteronormativitet
<http://www.yso.fi/onto/yso/p2421>	dagstidningar
<http://www.yso.fi/onto/yso/p1828>	sexuella minoriteter
<http://www.yso.fi/onto/yso/p2422>	tidningspress
<http://www.yso.fi/onto/yso/p2551>	makt
<http://www.yso.fi/onto/yso/p1044>	värderingar (uppfattningar)
<http://www.yso.fi/onto/yso/p24007>	insändare
<http://www.yso.fi/onto/yso/p14387>	Bibeln
<http://www.yso.fi/onto/yso/p9984>	bibeltolkning
<http://www.yso.fi/onto/yso/p8613>	debatt
<http://www.yso.fi/onto/yso/p5129>	kärlek till nästan
<http://www.yso.fi/onto/yso/p9743>	identitet (självbild)
<http://www.yso.fi/onto/yso/p12814>	argumentation
<http://www.yso.fi/onto/yso/p4668>	kristendom
<http://www.yso.fi/onto/yso/p15698>	könsminoriteter
<http://www.yso.fi/onto/yso/p7829>	diskursanalys
