<http://www.yso.fi/onto/yso/p38428>	lösningar (svar)
<http://www.yso.fi/onto/yso/p4632>	strategier
<http://www.yso.fi/onto/yso/p7401>	gymnasiet
<http://www.yso.fi/onto/yso/p12469>	svenska
<http://www.yso.fi/onto/yso/p10083>	kommuner
<http://www.yso.fi/onto/yso/p6564>	utmaningar
<http://www.yso.fi/onto/yso/p3387>	andra stadiets utbildning
<http://www.yso.fi/onto/yso/p13999>	kommunala sektorn
<http://www.yso.fi/onto/yso/p7521>	kommunal ekonomi
<http://www.yso.fi/onto/yso/p5004>	befolkningsförändringar
<http://www.yso.fi/onto/yso/p84>	utbildning
