<http://www.yso.fi/onto/yso/p454>	politik
<http://www.yso.fi/onto/yso/p1520>	riksdagsledamöter
<http://www.yso.fi/onto/yso/p29366>	Instagram
<http://www.yso.fi/onto/yso/p20774>	sociala medier
<http://www.yso.fi/onto/yso/p36>	kommunikation
<http://www.yso.fi/onto/yso/p3485>	känslor
<http://www.yso.fi/onto/yso/p5291>	kön
<http://www.yso.fi/onto/yso/p13723>	politisk kommunikation
<http://www.yso.fi/onto/yso/p7937>	visuell kommunikation
<http://www.yso.fi/onto/yso/p25989>	genus
<http://www.yso.fi/onto/yso/p8958>	partier
<http://www.yso.fi/onto/yso/p3182>	politiker
