<http://www.yso.fi/onto/yso/p1925>	ungdomsarbete
<http://www.yso.fi/onto/yso/p1726>	tro
<http://www.yso.fi/onto/yso/p17710>	andlighet (religiositet)
<http://www.yso.fi/onto/yso/p229>	församlingsarbete
<http://www.yso.fi/onto/yso/p266>	självkänsla
<http://www.yso.fi/onto/yso/p3937>	religiositet
<http://www.yso.fi/onto/yso/p411>	sociala relationer
<http://www.yso.fi/onto/yso/p11782>	kvalitativ forskning
<http://www.yso.fi/onto/yso/p11817>	evangelisk-lutherska kyrkan
<http://www.yso.fi/onto/yso/p3209>	erfarenheter
<http://www.yso.fi/onto/yso/p11617>	ungdomar
