<http://www.yso.fi/onto/yso/p610>	antisemitism
<http://www.yso.fi/onto/yso/p2422>	tidningspress
<http://www.yso.fi/onto/yso/p144>	förföljelser
<http://www.yso.fi/onto/yso/p18400>	ställningstaganden
<http://www.yso.fi/onto/yso/p27464>	Kristallnatten
<http://www.yso.fi/onto/yso/p10006>	migration (människor)
<http://www.yso.fi/onto/yso/p8418>	åsikter
<http://www.yso.fi/onto/yso/p1780>	historia
<http://www.yso.fi/onto/yso/p6292>	fascism
<http://www.yso.fi/onto/yso/p27239>	antifascism
<http://www.yso.fi/onto/yso/p3418>	finlandssvenskar
<http://www.yso.fi/onto/yso/p14998>	allmänna opinionen
<http://www.yso.fi/onto/yso/p6458>	flyktingar
