<http://www.yso.fi/onto/yso/p5619>	attityder
<http://www.yso.fi/onto/yso/p13164>	högskolestudier
<http://www.yso.fi/onto/yso/p11406>	läsning
<http://www.yso.fi/onto/yso/p16486>	studerande
<http://www.yso.fi/onto/yso/p1246>	högskoleundervisning
<http://www.yso.fi/onto/yso/p5848>	läsundersökning
<http://www.yso.fi/onto/yso/p4278>	läsvanor
<http://www.yso.fi/onto/yso/p7797>	e-böcker
<http://www.yso.fi/onto/yso/p1030>	högskolor
<http://www.yso.fi/onto/yso/p24916>	informationsbeteende
<http://www.yso.fi/onto/yso/p26832>	läsupplevelser
